"(x,y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(7, 117)",2017,08,8,123,130,Improved,1985,2731
"(7, 118)",2017,08,8,123,130,Improved,1985,2731
"(7, 119)",2017,08,8,123,130,Improved,1985,2731
"(7, 120)",2017,08,8,123,130,Improved,1985,2731
"(7, 121)",2017,08,8,123,130,Improved,1985,2731
"(7, 122)",2017,08,8,123,130,Improved,1985,2731
"(7, 123)",2017,08,8,123,130,Improved,1985,2731
"(7, 124)",2017,08,8,123,130,Improved,1985,2731
"(7, 125)",2017,08,8,123,130,Improved,1985,2731
"(7, 126)",2017,08,8,123,130,Improved,1985,2731
"(7, 127)",2017,08,8,123,130,Improved,1985,2731
"(7, 128)",2017,08,8,123,130,Improved,1985,2731
"(7, 129)",2017,08,8,123,130,Improved,1985,2731
"(7, 130)",2017,08,8,123,130,Improved,1985,2731
"(7, 131)",2017,10,8,141,134,Model A,1995,2978
"(7, 132)",2017,10,8,141,134,Model A,1995,2978
"(7, 133)",2017,10,8,141,134,Model A,1995,2978
"(7, 134)",2017,10,8,141,134,Model A,1995,2978
"(7, 135)",2017,09,8,170,137,Model A,1994,3139
"(7, 136)",2017,09,8,170,137,Model A,1994,3139
"(7, 137)",2017,09,8,170,137,Model A,1994,3139
"(7, 138)",2018,02,8,833,146,Maisonette,1989,3342
"(7, 139)",2018,02,8,833,146,Maisonette,1989,3342
"(7, 140)",2018,02,8,833,146,Maisonette,1989,3342
"(7, 141)",2018,02,8,833,146,Maisonette,1989,3342
"(7, 142)",2018,02,8,833,146,Maisonette,1989,3342
"(7, 143)",2018,02,8,833,146,Maisonette,1989,3342
"(7, 144)",2018,02,8,833,146,Maisonette,1989,3342
"(7, 145)",2018,02,8,833,146,Maisonette,1989,3342
"(7, 146)",2018,02,8,833,146,Maisonette,1989,3342
"(7, 147)",2018,01,8,128,173,Apartment,1995,3353
"(7, 148)",2018,01,8,128,173,Apartment,1995,3353
"(7, 149)",2018,01,8,128,173,Apartment,1995,3353
"(7, 150)",2018,01,8,128,173,Apartment,1995,3353
"(8, 80)",2018,02,8,34,98,New Generation,1978,2582
"(8, 81)",2018,02,8,34,98,New Generation,1978,2582
"(8, 82)",2018,02,8,34,98,New Generation,1978,2582
"(8, 83)",2018,02,8,34,98,New Generation,1978,2582
"(8, 84)",2018,02,8,34,98,New Generation,1978,2582
"(8, 85)",2018,02,8,34,98,New Generation,1978,2582
"(8, 86)",2018,02,8,34,98,New Generation,1978,2582
"(8, 87)",2018,02,8,34,98,New Generation,1978,2582
"(8, 88)",2018,02,8,34,98,New Generation,1978,2582
"(8, 89)",2018,02,8,34,98,New Generation,1978,2582
"(8, 90)",2018,02,8,34,98,New Generation,1978,2582
"(8, 91)",2018,02,8,34,98,New Generation,1978,2582
"(8, 92)",2018,02,8,34,98,New Generation,1978,2582
"(8, 93)",2018,02,8,34,98,New Generation,1978,2582
"(8, 94)",2018,02,8,34,98,New Generation,1978,2582
"(8, 95)",2018,02,8,34,98,New Generation,1978,2582
"(8, 96)",2018,02,8,34,98,New Generation,1978,2582
"(8, 97)",2018,02,8,34,98,New Generation,1978,2582
"(8, 98)",2018,02,8,34,98,New Generation,1978,2582
"(8, 99)",2018,03,8,735,102,Model A,1998,2696
"(8, 100)",2018,03,8,735,102,Model A,1998,2696
"(8, 101)",2018,03,8,735,102,Model A,1998,2696
"(8, 102)",2018,03,8,735,102,Model A,1998,2696
"(8, 103)",2018,03,8,743,103,Model A2,1997,2718
"(8, 104)",2017,08,8,123,130,Improved,1985,2731
"(8, 105)",2017,08,8,123,130,Improved,1985,2731
"(8, 106)",2017,08,8,123,130,Improved,1985,2731
"(8, 107)",2017,08,8,123,130,Improved,1985,2731
"(8, 108)",2017,08,8,123,130,Improved,1985,2731
"(8, 109)",2017,08,8,123,130,Improved,1985,2731
"(8, 110)",2017,08,8,123,130,Improved,1985,2731
"(8, 111)",2017,08,8,123,130,Improved,1985,2731
"(8, 112)",2017,08,8,123,130,Improved,1985,2731
"(8, 113)",2017,08,8,123,130,Improved,1985,2731
"(8, 114)",2017,08,8,123,130,Improved,1985,2731
"(8, 115)",2017,08,8,123,130,Improved,1985,2731
"(8, 116)",2017,08,8,123,130,Improved,1985,2731
"(8, 117)",2017,08,8,123,130,Improved,1985,2731
"(8, 118)",2017,08,8,123,130,Improved,1985,2731
"(8, 119)",2017,08,8,123,130,Improved,1985,2731
"(8, 120)",2017,08,8,123,130,Improved,1985,2731
"(8, 121)",2017,08,8,123,130,Improved,1985,2731
"(8, 122)",2017,08,8,123,130,Improved,1985,2731
"(8, 123)",2017,08,8,123,130,Improved,1985,2731
"(8, 124)",2017,08,8,123,130,Improved,1985,2731
"(8, 125)",2017,08,8,123,130,Improved,1985,2731
"(8, 126)",2017,08,8,123,130,Improved,1985,2731
"(8, 127)",2017,08,8,123,130,Improved,1985,2731
"(8, 128)",2017,08,8,123,130,Improved,1985,2731
"(8, 129)",2017,08,8,123,130,Improved,1985,2731
"(8, 130)",2017,08,8,123,130,Improved,1985,2731
"(8, 131)",2017,10,8,141,134,Model A,1995,2978
"(8, 132)",2017,10,8,141,134,Model A,1995,2978
"(8, 133)",2017,10,8,141,134,Model A,1995,2978
"(8, 134)",2017,10,8,141,134,Model A,1995,2978
"(8, 135)",2018,03,8,838,149,Apartment,1988,3087
"(8, 136)",2018,03,8,838,149,Apartment,1988,3087
"(8, 137)",2018,03,8,838,149,Apartment,1988,3087
"(8, 138)",2018,03,8,838,149,Apartment,1988,3087
"(8, 139)",2018,03,8,838,149,Apartment,1988,3087
"(8, 140)",2018,03,8,838,149,Apartment,1988,3087
"(8, 141)",2018,03,8,838,149,Apartment,1988,3087
"(8, 142)",2018,03,8,838,149,Apartment,1988,3087
"(8, 143)",2018,03,8,838,149,Apartment,1988,3087
"(8, 144)",2018,03,8,838,149,Apartment,1988,3087
"(8, 145)",2018,03,8,838,149,Apartment,1988,3087
"(8, 146)",2018,03,8,838,149,Apartment,1988,3087
"(8, 147)",2018,03,8,838,149,Apartment,1988,3087
"(8, 148)",2018,03,8,838,149,Apartment,1988,3087
"(8, 149)",2018,03,8,838,149,Apartment,1988,3087
"(8, 150)",2018,01,8,128,173,Apartment,1995,3353
