"(x,y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(2, 116)",2017,08,8,123,130,Improved,1985,2731
"(2, 117)",2017,08,8,123,130,Improved,1985,2731
"(2, 118)",2017,08,8,123,130,Improved,1985,2731
"(2, 119)",2017,08,8,123,130,Improved,1985,2731
"(2, 120)",2017,08,8,123,130,Improved,1985,2731
"(2, 121)",2017,08,8,123,130,Improved,1985,2731
"(2, 122)",2017,08,8,123,130,Improved,1985,2731
"(2, 123)",2017,08,8,123,130,Improved,1985,2731
"(2, 124)",2017,08,8,123,130,Improved,1985,2731
"(2, 125)",2017,08,8,123,130,Improved,1985,2731
"(2, 126)",2017,08,8,123,130,Improved,1985,2731
"(2, 127)",2017,08,8,123,130,Improved,1985,2731
"(2, 128)",2017,08,8,123,130,Improved,1985,2731
"(2, 129)",2017,08,8,123,130,Improved,1985,2731
"(2, 130)",2017,08,8,123,130,Improved,1985,2731
"(2, 131)",2017,09,8,170,137,Model A,1994,3139
"(2, 132)",2017,09,8,170,137,Model A,1994,3139
"(2, 133)",2017,09,8,170,137,Model A,1994,3139
"(2, 134)",2017,09,8,170,137,Model A,1994,3139
"(2, 135)",2017,09,8,170,137,Model A,1994,3139
"(2, 136)",2017,09,8,170,137,Model A,1994,3139
"(2, 137)",2017,09,8,170,137,Model A,1994,3139
"(2, 138)",2017,09,8,536,145,Premium Apartment,1999,3345
"(2, 139)",2017,09,8,536,145,Premium Apartment,1999,3345
"(2, 140)",2017,09,8,536,145,Premium Apartment,1999,3345
"(2, 141)",2017,09,8,536,145,Premium Apartment,1999,3345
"(2, 142)",2017,09,8,536,145,Premium Apartment,1999,3345
"(2, 143)",2017,09,8,536,145,Premium Apartment,1999,3345
"(2, 144)",2017,09,8,536,145,Premium Apartment,1999,3345
"(2, 145)",2017,09,8,536,145,Premium Apartment,1999,3345
"(2, 146)",2017,09,8,114,170,Apartment,1995,3647
"(2, 147)",2017,09,8,114,170,Apartment,1995,3647
"(2, 148)",2017,09,8,114,170,Apartment,1995,3647
"(2, 149)",2017,09,8,114,170,Apartment,1995,3647
"(2, 150)",2017,09,8,114,170,Apartment,1995,3647
"(3, 80)",2017,08,8,123,130,Improved,1985,2731
"(3, 81)",2017,08,8,123,130,Improved,1985,2731
"(3, 82)",2017,08,8,123,130,Improved,1985,2731
"(3, 83)",2017,08,8,123,130,Improved,1985,2731
"(3, 84)",2017,08,8,123,130,Improved,1985,2731
"(3, 85)",2017,08,8,123,130,Improved,1985,2731
"(3, 86)",2017,08,8,123,130,Improved,1985,2731
"(3, 87)",2017,08,8,123,130,Improved,1985,2731
"(3, 88)",2017,08,8,123,130,Improved,1985,2731
"(3, 89)",2017,08,8,123,130,Improved,1985,2731
"(3, 90)",2017,08,8,123,130,Improved,1985,2731
"(3, 91)",2017,08,8,123,130,Improved,1985,2731
"(3, 92)",2017,08,8,123,130,Improved,1985,2731
"(3, 93)",2017,08,8,123,130,Improved,1985,2731
"(3, 94)",2017,08,8,123,130,Improved,1985,2731
"(3, 95)",2017,08,8,123,130,Improved,1985,2731
